line_number,character,original,vietnamese
215,iroha,"Well, it's also rather annoying to see people trying to make a conversation exciting...",
216,hachiman,"(At least she got good reference. But if a conversation dies, you really go into a stalemate, huh?)",
222,iroha,"What are you thinking about, senpai?",
224,hachiman,Nothing in particular.,
229,hachiman,"Well, if I really had to say, I'm thinking about going home.",
232,iroha,You really should just keep that to yourself.,
238,hachiman,Women sure love Valentine's.,
241,iroha,"That's right. It's a woman's day, after all!",
243,hachiman,That's the 3rd of March.,
246,iroha,That's not true. Valentine's is a day for girls to battle it out.,
252,iroha,"I mean it's the day where we give it our all to win. They even say it on TV, don't they?",
261,hachiman,"By the way, what kind of chocolate do you want to make?",
264,iroha,"Hmm... I'm still trying to figure it out, but I know I have to go all out… Competition seems pretty though this year, huh?",
266,hachiman,"That's true. Everybody will be making it together, too, so it'll be easy to see the difference in skill between people.",
269,iroha,"*Fufufu*, sorry not sorry, but that will only make me shine even more.",
270,hachiman,"(Well, how good the chocolate is doesn't really matter, though… Good luck, Irohasu!)",
278,iroha,Yes. It's convenient in a lot of ways to have a shared budget.,
280,hachiman,Won't that actually be more inconvenient? I still get flashbacks from that Christmas event.,
282,iroha,"This time we're taking the initiative and fully committing to hedging our risks, so we'll be fine.",
283,hachiman,(I've already been pulled into the Kaihin rip current.),
289,hachiman,"No matter how you look at it, we can't finish everything today.",
292,iroha,"Right... Once the recipes are ready, we also need to buy the ingredients.",
294,hachiman,"So you could've done it after everything was ready to go. We'd have more manpower that way, too...",
299,hachiman,You're surprisingly basic if you think going out shopping and trying to have a date at the same time is somehow a thing.,
304,iroha,"{size=35}I was actually on a date I'd expect it to be more like the real thing{/size},{size=50} so that's a no, sorry.{/size}",
305,hachiman,"(Not as naive as you can be, Iroha-chan...)",
314,hachiman,I wonder if this might become an annual tradition.,
317,iroha,............,
320,iroha,Hehe...,
322,hachiman,Hm? What?,
327,hachiman,............,
329,hachiman,I guess so.,
337,iroha,You're right. It's no good if we're late.,
343,iroha,"Senpai, you're not excited even though it's Valentine's~",
345,hachiman,That's not true. I'm incredibly excited.,
348,iroha,"Wow, that's surprising. I thought you were the type who hates Valentine's Day and wishes it would disappear.",
352,hachiman,"In fact, I don't even want to get chocolate from other people because it would make Komachi's chocolate stand out less.",
355,iroha,"Senpai, you're dead serious and it's so creepy. That takes loads off your points...",
361,iroha,"S~enpai, even though it's Valentine's Day, you're just as gl~oomy as always. Don't you ever get a little nervous or excited?",
363,hachiman,"I'm not nervous, I already know nothing's gonna happen. I am excited, though, Komachi'll give me chocolate.",
366,iroha,"Every other word that comes out of your mouth is about Komachi-chan, senpai...",
367,hachiman,(And every third word I say is about Totsuka☆),
370,iroha,"Although, it's a little different this year.",
372,hachiman,Why's that?,
375,iroha,Well... I'll keep that to myself☆,
376,hachiman,(Why is she being so coy?),
381,iroha,"What kind of day is Valentine's to you, senpai?",
383,hachiman,The kind of day I get chocolate from my mom and sister.,
386,iroha,"Sorry, I phrased that the wrong way.",
389,iroha,"Um, let's see... Senpai, you'd be happy to get chocolate, right?",
391,hachiman,"Well, I guess I would...",
394,iroha,Right.,
397,iroha,"Then I think you can expect to get some this year, senpai.",
399,hachiman,"Right, because of the taste-testing event. I'll enjoy tasting and the perks of cleaning up left-overs.",
402,iroha,"No, that's not what I meant...",
408,iroha,"No, never mind. I guess I'll keep it to myself, after all. Since I want to see the surprise on your face.",
422,mystery,Hikigaya?,
423,hachiman,(This voice...),
427,kaori,"Didn't expect to see you here! Are you shopping for the tasting event, too?",
439,kaori,"Hey, why don't we shop around together? That way we won't overlap.",
442,iroha,"Oh, right. That's a good way to save money.",
445,kaori,"I know right~? Alright, it's decided!",
446,hachiman,(I wanna go...),
459,iroha,How about something like this~?,
464,kaori,"Alright, work's all done. Now we can just enjoy the event~.",
466,hachiman,............,
469,kaori,"Come to think of it, have I ever given you chocolate, Hikgaya?",
472,iroha,............,
474,hachiman,............,
476,hachiman,"No, of course not.",
479,kaori,Right.,
489,iroha,"You really haven't gotten any chocolate, huh, senpai?",
491,hachiman,"Leave it alone. The ones who get chocolate are lucky, so not getting chocolate is actually the norm.",
494,iroha,"Ahaha, you sound like a sore loser.",
496,hachiman,............,
499,iroha,"But if that's the case, senpai, I'm looking forward to the event even more♪.",
501,hachiman,Why the hell...?,
503,iroha,............,
505,hachiman,......?,
509,iroha,Want to go back? The shopping is all done.,
512,hachiman,............,
516,iroha,"What are you doing, senpai? I'll leave you behind~",
518,hachiman,............,
529,iroha,Alright! It's done! Just have to put the icing on the cake,
533,iroha,"Fufu. Now, how should I decorate it~♪",
534,hachiman,"(Wow, no wonder she said it was her specialty. She's seems really good at it.)",
539,iroha,"What's wrong, senpai? You've been staring at me for a while~",
541,hachiman,I was just admiring a professional at work. I kept watching because I was curious about how you were making them.,
544,iroha,I see. Your face and personality gave away the impression you knew nothing about that.,
548,iroha,"If you try it, you might find it surprisingly fun. I still have some ingredients left, so wanna try?",
550,hachiman,"Well, I still have some odd jobs to finish, so I'll pass for now.",
553,iroha,Right. Then...,
560,iroha,"Here, senpai. Open your mouth.",
563,hachiman,Huh? Do I taste test already? With no icing?,
566,iroha,This isn't a taste test. It's nutritional support for all the hard work you've done.,
568,hachiman,"Ah, right.",
570,iroha,"Come on, senpai, open your mouth so I can toss it in.",
572,hachiman,"I can eat it myself, thank you.",
577,hachiman,...It's great.,
580,iroha,"Ehehe, the finished product is even better~",
582,hachiman,Oh? I'm looking forward to it.,
586,iroha,Excuse me? I didn't say I'd give you any.,
588,hachiman,"R-right... Sorry, I guess? I got carried away.",
600,keika,"Haa-chan, look! I made this!",
602,hachiman,"Mm? Oh, that's great. You did really well, huh?",
604,hachiman,"Did you help, too?",
609,keika,"Haa-chan, try them!",
612,saki,So... will you try them? They shouldn't be too bad.,
614,hachiman,"Is that okay? Thank you, Kei chan. Here goes.",
616,hachiman,............,
619,saki,............,
622,keika,"Haa-chan, is it yummy? Is it?",
624,hachiman,"Ah, it's tasty. It's really tasty! Kei chan, you really outdid yourself.",
629,keika,Yay! Haa chan liked them!,
632,saki,"Isn't that great, Kei chan?",
634,keika,Yeah!,
637,saki,"Well then, w we'll go back to cleaning up.",
639,hachiman,"Yeah, thanks for coming.",
647,haruno,"Hey, Hikigaya kun~! Try onee san's sweets, too~",
649,hachiman,Is there any point? They're probably flawless as is.,
652,haruno,"I certainly didn't make any mistakes, but you need to try them in order to fine tune the taste, right? Come on, don't be shy.",
654,hachiman,"I'll try them, then...",
658,haruno,How is it?,
660,hachiman,Wel... It's delicious. It really is.,
667,hachiman,............,
670,haruno,You know onee san sees through everything~,
674,haruno,"You're gonna be my brother-in-law, after all~",
678,yukino,"Hikigaya kun, you don't need to entertain her.",
680,hachiman,"Ah, right.",
684,haruno,"Oh oh, I made Yukino chan mad. Well then, better head back.",
700,yukino,I'm sorry about my sister.,
702,hachiman,It's alright...,
706,kaori,"Ah, Yukinoshita san, I baked this how you told me, so can you teach me how to add some finishing touches. We'll get to taste testing afterwords.",
709,yukino,"Yes, I'll be right there.",
715,yukino,"He's here and all, so why not let Hikigaya kun taste it?",
718,kaori,Hikigaya?,
720,hachiman,............,
722,kaori,"Hikigaya, you can tell taste??",
724,hachiman,My taste buds are perfectly fine...,
730,yukino,"He's got a sweet tooth. I think he's taste testing is trustworthy, at least when it comes to sweetness.",
733,kaori,"Eh~, for real?",
736,kaori,"Hmm, alright, if it comes out well, I'll give Hikigaya some, too.",
744,iroha,............,
746,hachiman,"...? What? Something wrong, Isshiki?",
749,iroha,"N-no, it's just... I was surprised by how popular you seem to be.",
751,hachiman,Popular? I guess it's just the fact that a lot of the participants know me. People bringing me their chocolates for taste testing here is as proforma as mandatory gifts or new years greetings.,
754,iroha,Is that right...?,
757,iroha,"I don't know about the others, but I let senpai taste my chocolate as a token of my appreciation ☆",
766,hachiman,"(Even if it's just token of appreciation, I'll still taste it. I wonder what kind of sacrifice the men of the world would have to make to get a bargain chocolate from this girl.)",
771,hachiman,(I'll try the them starting from the left ones.),
772,hachiman,"(Oh, it's delicious. Perfect amount of sweetness, the aroma is there, too... The handmade look of it is also very appealing to men.)",
774,iroha,............,
775,hachiman,(Let's try the right ones next...),
776,hachiman,"(It's kind of powdery, but that doesn't make it bad per say. It has a strange and addictive taste.)",
780,iroha,"Actually, I made one side, and someone else made the other side.. how were they?",
782,hachiman,"Eh, really?",
783,hachiman,"(Basically, if I guess the ones Iroha made, I'd get praised... I don't know if she'll let me try them again, or if I'll be able to make excuses if I mess up...)",
785,hachiman,"(The homemade left ones, or the nostalgic tasting right ones...)",
789,hachiman,The left ones.,
791,hachiman,"I don't know which were made by you, but I liked the left ones better. I guess heartfelt homemade confection is what describes them best.",
796,hachiman,"I honestly don't know which ones are yours, but... I think I like the sweets on the right better. It's somehow a flavour that makes me want to try it again.",
798,iroha,The right one...,
804,iroha,Eh...,
806,hachiman,"They're so good, they can easily cause a misunderstanding  if you gave them to someone on Valentines.",
807,hachiman,"(If I received them, I'd be the one confessing, not the other way around.)",
810,iroha,............,
811,hachiman,(And Isshiki's reaction as well...),
813,hachiman,Well... that's just my impressions at least.,
816,iroha,"Senpai... as expected of you. Correct, I made the left ones.",
817,hachiman,"(Fu~~, alright. I knew it.)",
821,hachiman,"What do you expect, that was an absurd quiz.",
823,iroha,"Ahaha, I honestly wasn't expecting you to get it right.",
825,hachiman,Right?,
827,hachiman,"Though, what I just said wasn't empty flattery. They really were delicious. Thanks.",
829,iroha,............,
833,iroha,I feel a little embarrassed when I get such a straightforward compliment from a cynical senpai.,
837,iroha,"This means I can give them to other people, too, right?",
847,hachiman,That's right.,
850,iroha,............,
852,hachiman,What?,
854,iroha,"Not, it's just, I... thought I'd ask you first.",
857,iroha,Thank you for all of your support.,
859,hachiman,S-Sure thing.,
860,hachiman,(This more honest Irohasu is making my heart race...),
861,hachiman,"(Eh, what is this affectionate mood I'm getting into...)",
870,hachiman,"W-Well, now that the chocolates done, do your best.",
873,iroha,I will!,
878,iroha,"Well then, I'll be going over to where Hayama-senpai is.",
904,iroha,Hayama senpai! Do you have a moment?,
910,yumiko,Are you blind? Can't you see me and Hayama are talking?,
912,iroha,"Yeah, and so what's the problem~? Right, Hayama senpai~?",
917,hachiman,"(Your will is so firm, Irohasu...)",
918,hachiman,"(Anyway, I really do want you to give it your all.)",
928,iroha,............,
933,iroha,That chocolate is actually... Orimoto-san's chocolate. Right?,
943,kaori,.........,
946,kaori,"Um, yeah... It's mine. It's the ones I gave to Isshiki-chan so I can give to Hikigaya later...",
949,kaori,"A...Ahaha. That's so like you, Hikigaya! Like, how did you even pick mine?",
951,hachiman,What was I supposed to do? I simply went to taste those first.,
957,kaori,"Huh? That one was my first try, so I messed up on them and Hikigaya still gives them some kind of taste report... That...That's hilarious...!",
962,hachiman,............,
964,kaori,"Ahaha, ahhh~ so funny.",
967,kaori,"I've got some freshly baked good ones, so if you're gonna praise something, praise them. Come on, over here~",
969,hachiman,S-Sure thing...,
977,hachiman,"(Ahhh, it's finally over.)",
978,hachiman,"(No more chocolate for the time being. No, I'll make an exception for Komachi's chocolate.)",
984,mystery,Hikigaya!,
995,kaori,We met again. Hilarous.,
998,hachiman,"Yeah. We just parted ways, too.",
1001,kaori,"Ah, no I mean meeting you out and about.",
1003,hachiman,"Ah, that's what you meant.",
1006,kaori,"Yep, yep.",
1014,kaori,We live closer than I thought after all.,
1017,kaori,.........,
1022,hachiman,(I won't mind if you went on ahead...),
1027,hachiman,"It's really not funny. You're alone, too, aren't you?",
1032,hachiman,"Being alone is high in social value. Even if you were at sea or on a mountain, swimming and climbing would be way easier alone. You could say then I'm a solo Japanese islands crossing, no oxygen ",
1034,hachiman,"climbing, home returning gigantor, right?",
1040,kaori,"Eh? Hikigaya, are you interested in climbing? Mountains and hiking are pretty cool!",
1046,hachiman,"It sounds like we're having a lively conversation, but we're on a different plane of existence. Can you not do the selective hearing thing and just a few select words?",
1049,kaori,"You know, I saw you today and I was thinking...",
1050,hachiman,(She's stopped listening entirely.),
1053,kaori,"Hikigaya, you've sure changed a lot, haven't you?",
1055,hachiman,.........,
1057,hachiman,...What?,
1059,kaori,"I have, too.",
1061,hachiman,.........,
1064,kaori,"Hey, can I talk to you sometime when you're free?",
1066,hachiman,"Eh, why would you?",
1069,kaori,Why... because I can kill some time when I'm bored??,
1071,hachiman,"Right, have you looked elsewhere?",
1077,kaori,So give me your contact info.,
1079,hachiman,.........,
1084,hachiman,...Alright.,
1088,hachiman,.........,
1096,hachiman,.........,
1099,hachiman,"Well, if you're so inclined...",
1119,kaori,"Hikigaya, did you decide on a club~?",
1121,hachiman,"No, I'm still thinking.",
1123,kaori,Seriously? Clubs are starting to get filled out and people are getting closer! There won't be any room for you! Hurry up!,
1125,hachiman,"That just gave me a reason not to rush. Thanks, Orimoto.",
1127,kaori,Why don't you come to my club then?,
1143,hachiman,"Seriously though, I don't mind being by myself.",
1145,kaori,"...? I know that, but... You've been alone the whole time, Hikigaya. It's hilarious~ I could never do it.",
1149,kaori,Huh?,
1151,hachiman,.........,
1153,kaori,"Ahhh, yeah, you're right.",
1155,hachiman,.........,
1157,kaori,Sorry! That wasn't very nice just now. I didn't mean to make you feel like that. I'm silly like that sometimes...,
1163,kaori,I don't care what club friends think.,
1170,hachiman,.........,
1172,hachiman,"W-Well, I don't mind if you don't...",
1174,kaori,"Yeah, right on!",
1183,kaori,"Speaking of which, one of my friends from the club asked me: \",
1185,kaori,"I said that we've just been friends since middle school, but that kinda didn't feel right.",
1187,kaori,"What are we, actually?",
1189,hachiman,.........,
1195,hachiman,I don't know either.,
1201,kaori,"I know, right? Hilarious!",
1203,hachiman,It's not that funny.,
1215,hachiman,............,
1218,iroha,Sen~pai!,
1223,iroha,"About the ski camp I mentioned, I'm really, really looking forward to it, okay? Not as just some fancy dating spot, too.",
1225,hachiman,"What, you like skiing that much?",
1227,iroha,"No, not really.",
1233,hachiman,Is that so?,
1236,iroha,Yes!,
